Email,Label
Congratulations! You’ve won a prize! Claim now at http://fake-prize.com,1
Your account has been accessed from a new device. Verify at http://secure-login.com,1
Meeting rescheduled: Please check your calendar for updates.,0
Urgent: Your account will be suspended. Click here http://fraudalert.net,1
Invoice for your recent purchase attached.,0
Update your payment details immediately at http://secure-payment.net,1
Reminder: Project deadline is approaching.,0
Receive a $100 gift card. Sign up at http://freemoneyoffer.com,1
Weekly team updates: Please review the attached file.,0
Limited time offer! Get 50% off now at http://scam-sale.com,1
New job opportunity: Please apply via our career portal.,0
Your delivery is delayed. Resolve issue at http://fraud-tracker.com,1
Event invitation: Join us for the annual conference.,0
Suspicious activity detected. Secure your account at http://malicious-security.com,1
Password reset request for your email.,0
Urgent! Your Apple ID is locked. Recover now at http://fake-apple.net,1
Monthly newsletter: Check out our latest updates.,0
Verify your identity at http://identity-verification.org,1
Your subscription is expiring soon. Renew here.,0
Special discount! Save 30% at http://scam-discount.com,1
New invoice available for review.,0
Win a free vacation! Click here http://scam-vacation.net,1
Update on your recent order.,0
Your account needs verification at http://fake-verification.com,1
Monthly bank statement ready for download.,0
Suspicious sign-in attempt. Reset password at http://phishing-alert.org,1
Your friend has sent you a gift. Claim it at http://scam-gift.com,1
Thank you for your payment!,0
Free credit score report. Check now at http://fake-creditscore.com,1
Upcoming meeting schedule.,0
Claim your refund at http://scam-refund.net,1
Company updates: Q3 reports released.,0
Action required! Your email has been compromised. Recover now at http://phishing-email.com,1
Happy Birthday! Enjoy a special discount on us.,0
Click here for exclusive Black Friday deals http://scam-blackfriday.net,1
Reminder: Your flight details for tomorrow.,0
Your device warranty is expiring. Extend at http://fake-warranty.net,1
Holiday greetings from our team to yours.,0
Urgent: Update your address for delivery at http://scam-update.com,1
We have received your support request.,0
Win a free iPhone now at http://fake-iphone.net,1
Your subscription renewal has been processed.,0
You are eligible for a tax refund! Claim at http://fraud-taxrefund.com,1
Weekly digest: News and updates.,0
Urgent security notice: Update your login at http://phishing-login.com,1
Join us for our annual charity event!,0
Verify your PayPal account now at http://fake-paypal.net,1
Important: Updates to our privacy policy.,0
Claim your reward at http://fraudulent-reward.com,1
Friendly reminder: Your appointment is tomorrow.,0
Activate your account now at http://scam-activate.net,1
Your recent purchase has shipped!,0
Recover your password at http://malicious-reset.com,1
Special promotion just for you: 20% off.,0
Alert: Unusual activity detected on your account. Secure it at http://fraud-security.net,1
Team meeting notes are now available.,0
Unlock your prize at http://fake-prizeunlock.net,1
Holiday sale ends soon! Shop now.,0
Immediate attention needed! Confirm your details at http://malicious-confirmation.net,1
Your e-receipt for the recent purchase.,0
Urgent: Suspicious payment detected. Verify at http://fraudulent-payment.net,1
Monthly subscription charged successfully.,0
Important: Your account will expire. Renew now at http://phishing-renewal.com,1
Your delivery is on its way!,0
Earn rewards by completing our survey. Sign up at http://scam-survey.net,1
Project status updates for the week.,0
Your order has been delayed. Resolve here: http://fake-resolveorder.com,1
Important announcement: Company policy changes.,0
Your package is waiting. Confirm details at http://fraud-package.net,1
Congratulations! You’ve won a prize! Claim now at http://fake-prize.com,1
Your account has been accessed from a new device. Verify at http://secure-login.com,1
Meeting rescheduled: Please check your calendar for updates.,0
Urgent: Your account will be suspended. Click here http://fraudalert.net,1
Invoice for your recent purchase attached.,0
Update your payment details immediately at http://secure-payment.net,1
Reminder: Project deadline is approaching.,0
Receive a $100 gift card. Sign up at http://freemoneyoffer.com,1
Weekly team updates: Please review the attached file.,0
Limited time offer! Get 50% off now at http://scam-sale.com,1
New job opportunity: Please apply via our career portal.,0
Your delivery is delayed. Resolve issue at http://fraud-tracker.com,1
Event invitation: Join us for the annual conference.,0
Suspicious activity detected. Secure your account at http://malicious-security.com,1
Password reset request for your email.,0
Urgent! Your Apple ID is locked. Recover now at http://fake-apple.net,1
Monthly newsletter: Check out our latest updates.,0
Verify your identity at http://identity-verification.org,1
Your subscription is expiring soon. Renew here.,0
Special discount! Save 30% at http://scam-discount.com,1
New invoice available for review.,0
Win a free vacation! Click here http://scam-vacation.net,1
Update on your recent order.,0
Your account needs verification at http://fake-verification.com,1
Monthly bank statement ready for download.,0
